id|premissa|conclusao|suporte|confiança
73|work_rate_def_Medium, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.44|0.862745098039216
74|skill_moves_(2.9, 3.2], preferred_foot_Right|work_rate_def_Medium|0.44|0.862745098039216
75|skill_moves_(2.9, 3.2], preferred_foot_Right|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.44|0.862745098039216
76|penalties_(54.5, 61.0]|work_rate_def_Medium|0.32|0.864864864864865
77|penalties_(54.5, 61.0]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.32|0.864864864864865
78|work_rate_def_Medium, work_rate_att_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.32|0.864864864864865
79|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], work_rate_att_Medium, weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.32|0.864864864864865
80|international_reputation_(0.996, 1.4]|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.71|0.865853658536585
81|skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.65|0.866666666666667
82|body_type_Normal|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.39|0.866666666666667
83|work_rate_def_Medium, preferred_foot_Right|international_reputation_(0.996, 1.4]|0.52|0.866666666666667
84|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], work_rate_att_Medium|work_rate_def_Medium|0.39|0.866666666666667
85|work_rate_def_Medium, body_type_Normal|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.33|0.868421052631579
86|work_rate_def_Medium, skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.33|0.868421052631579
87|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], work_rate_att_Medium|work_rate_def_Medium|0.4|0.869565217391304
88|international_reputation_(0.996, 1.4], work_rate_att_Medium, weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.34|0.871794871794872
89|international_reputation_(0.996, 1.4], preferred_foot_Right, work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.34|0.871794871794872
90|preferred_foot_Right, work_rate_att_Medium|eur_value_(-62940.0, 12354000.0]|0.41|0.872340425531915
91|preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.63|0.875
92|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.42|0.875
93|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], preferred_foot_Right|work_rate_def_Medium|0.42|0.875
94|work_rate_def_Medium, preferred_foot_Right, work_rate_att_Medium|eur_value_(-62940.0, 12354000.0]|0.35|0.875
95|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.57|0.876923076923077
96|work_rate_def_Medium, work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.5|0.87719298245614
97|preferred_foot_Right, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.36|0.878048780487805
98|preferred_foot_Right, weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.36|0.878048780487805
99|work_rate_def_Medium|international_reputation_(0.996, 1.4]|0.73|0.879518072289157
100|international_reputation_(0.996, 1.4], weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.44|0.88
101|skill_moves_(2.9, 3.2], preferred_foot_Right|international_reputation_(0.996, 1.4]|0.45|0.882352941176471
